"threshold","sensitivity","specificity","accuracy"
-Inf,1,0,0.745098039215686
0.0875423663971882,1,0.0384615384615385,0.754901960784314
0.0985758193971882,1,0.0769230769230769,0.764705882352941
0.103068683409906,1,0.115384615384615,0.774509803921569
0.107319533909906,1,0.153846153846154,0.784313725490196
0.113650814,0.986842105263158,0.153846153846154,0.774509803921569
0.1173055545,0.986842105263158,0.192307692307692,0.784313725490196
0.122934874,0.986842105263158,0.230769230769231,0.794117647058823
0.127697877604515,0.986842105263158,0.269230769230769,0.803921568627451
0.131388306604515,0.986842105263158,0.307692307692308,0.813725490196078
0.1351954045,0.973684210526316,0.307692307692308,0.803921568627451
0.1361006875,0.960526315789474,0.307692307692308,0.794117647058823
0.137426645,0.947368421052632,0.307692307692308,0.784313725490196
0.1454826075,0.934210526315789,0.307692307692308,0.774509803921569
0.153843105,0.921052631578947,0.307692307692308,0.764705882352941
0.1566239375,0.921052631578947,0.346153846153846,0.774509803921569
0.1658559445,0.921052631578947,0.384615384615385,0.784313725490196
0.174463614945858,0.921052631578947,0.423076923076923,0.794117647058823
0.178200579945858,0.921052631578947,0.461538461538462,0.803921568627451
0.183340430025871,0.921052631578947,0.5,0.813725490196078
0.189550481525871,0.921052631578947,0.538461538461538,0.823529411764706
0.1936540825,0.921052631578947,0.576923076923077,0.833333333333333
0.199511811,0.921052631578947,0.615384615384615,0.843137254901961
0.2082729265,0.921052631578947,0.653846153846154,0.852941176470588
0.212771498,0.907894736842105,0.653846153846154,0.843137254901961
0.2250920985,0.907894736842105,0.692307692307692,0.852941176470588
0.237505414,0.894736842105263,0.692307692307692,0.843137254901961
0.2416800265,0.881578947368421,0.692307692307692,0.833333333333333
0.246707581,0.881578947368421,0.730769230769231,0.843137254901961
0.249135211,0.868421052631579,0.730769230769231,0.833333333333333
0.250425473,0.855263157894737,0.730769230769231,0.823529411764706
0.2568740995,0.842105263157895,0.730769230769231,0.813725490196078
0.2622555645,0.828947368421053,0.730769230769231,0.803921568627451
0.263868302,0.815789473684211,0.730769230769231,0.794117647058823
0.2654362915,0.802631578947368,0.730769230769231,0.784313725490196
0.304885119,0.802631578947368,0.769230769230769,0.794117647058823
0.3472594765,0.789473684210526,0.769230769230769,0.784313725490196
0.350380391,0.789473684210526,0.807692307692308,0.794117647058823
0.355371863,0.776315789473684,0.807692307692308,0.784313725490196
0.3631428335,0.763157894736842,0.807692307692308,0.774509803921569
0.36916627,0.75,0.807692307692308,0.764705882352941
0.3740727455,0.75,0.846153846153846,0.774509803921569
0.381177843,0.736842105263158,0.846153846153846,0.764705882352941
0.397958398,0.723684210526316,0.846153846153846,0.754901960784314
0.41089198,0.710526315789474,0.846153846153846,0.745098039215686
0.417541057,0.697368421052632,0.846153846153846,0.735294117647059
0.424620658,0.684210526315789,0.846153846153846,0.725490196078431
0.428235337,0.671052631578947,0.846153846153846,0.715686274509804
0.4302693905,0.657894736842105,0.846153846153846,0.705882352941177
0.4310170415,0.644736842105263,0.846153846153846,0.696078431372549
0.432941198497971,0.631578947368421,0.846153846153846,0.686274509803922
0.43750756999797,0.631578947368421,0.884615384615385,0.696078431372549
0.4426212315,0.618421052631579,0.884615384615385,0.686274509803922
0.4477150295,0.605263157894737,0.884615384615385,0.676470588235294
0.4630974535,0.592105263157895,0.884615384615385,0.666666666666667
0.4866587225,0.578947368421053,0.884615384615385,0.656862745098039
0.500113055,0.565789473684211,0.884615384615385,0.647058823529412
0.508072495,0.552631578947368,0.884615384615385,0.637254901960784
0.519189566145157,0.539473684210526,0.884615384615385,0.627450980392157
0.526083111645157,0.526315789473684,0.884615384615385,0.617647058823529
0.5327979025,0.513157894736842,0.884615384615385,0.607843137254902
0.549381852,0.5,0.884615384615385,0.598039215686274
0.5627256335,0.486842105263158,0.884615384615385,0.588235294117647
0.5668296515,0.473684210526316,0.884615384615385,0.57843137254902
0.5709035395,0.460526315789474,0.884615384615385,0.568627450980392
0.5731033085,0.447368421052632,0.884615384615385,0.558823529411765
0.5759774445,0.434210526315789,0.884615384615385,0.549019607843137
0.5806581675,0.434210526315789,0.923076923076923,0.558823529411765
0.587839633,0.421052631578947,0.923076923076923,0.549019607843137
0.5957556365,0.407894736842105,0.923076923076923,0.53921568627451
0.600864172,0.394736842105263,0.923076923076923,0.529411764705882
0.6042980255,0.381578947368421,0.923076923076923,0.519607843137255
0.615934342,0.368421052631579,0.923076923076923,0.509803921568627
0.629890531,0.355263157894737,0.923076923076923,0.5
0.633614093,0.355263157894737,0.961538461538462,0.509803921568627
0.63863042,0.342105263157895,0.961538461538462,0.5
0.6443096695,0.328947368421053,0.961538461538462,0.490196078431373
0.647610873,0.315789473684211,0.961538461538462,0.480392156862745
0.6508609355,0.302631578947368,0.961538461538462,0.470588235294118
0.6556117535,0.289473684210526,0.961538461538462,0.46078431372549
0.6602908075,0.276315789473684,0.961538461538462,0.450980392156863
0.668176323,0.263157894736842,0.961538461538462,0.441176470588235
0.6882016065,0.25,0.961538461538462,0.431372549019608
0.7038044335,0.236842105263158,0.961538461538462,0.42156862745098
0.7124573885,0.223684210526316,0.961538461538462,0.411764705882353
0.723732799,0.210526315789474,0.961538461538462,0.401960784313726
0.733755648,0.197368421052632,0.961538461538462,0.392156862745098
0.742351532,0.184210526315789,0.961538461538462,0.382352941176471
0.747628331,0.171052631578947,0.961538461538462,0.372549019607843
0.757133335,0.157894736842105,0.961538461538462,0.362745098039216
0.768377632,0.144736842105263,0.961538461538462,0.352941176470588
0.782897085,0.131578947368421,0.961538461538462,0.343137254901961
0.810756892,0.118421052631579,0.961538461538462,0.333333333333333
0.832634568,0.105263157894737,0.961538461538462,0.323529411764706
0.838933706,0.0921052631578947,0.961538461538462,0.313725490196078
0.845822632,0.0921052631578947,1,0.323529411764706
0.8554268775,0.0789473684210526,1,0.313725490196078
0.861901611,0.0657894736842105,1,0.303921568627451
0.867719412,0.0526315789473684,1,0.294117647058824
0.8756162225,0.0394736842105263,1,0.284313725490196
0.8915686305,0.0263157894736842,1,0.274509803921569
0.9058039485,0.0131578947368421,1,0.264705882352941
Inf,0,1,0.254901960784314
